t;x;x_d;x_dd;x_ddd;x_dddd;F
3.680000;9.171101;6.855179;3.022676;0.296345;-0.194328;3.315423
3.690000;9.239804;6.885420;3.025630;0.294405;-0.193654;3.305491
3.700000;9.308809;6.915691;3.028564;0.292471;-0.192982;3.295590
3.710000;9.378118;6.945991;3.031479;0.290545;-0.192312;3.285718
3.720000;9.447729;6.976321;3.034375;0.288625;-0.191643;3.275875
3.730000;9.517644;7.006679;3.037252;0.286712;-0.190978;3.266062
3.740000;9.587863;7.037066;3.040110;0.284806;-0.190314;3.256279
3.750000;9.658386;7.067481;3.042948;0.282906;-0.189652;3.246525
3.760000;9.729213;7.097925;3.045768;0.281013;-0.188992;3.236800
3.770000;9.800344;7.128396;3.048568;0.279126;-0.188334;3.227104
3.780000;9.871781;7.158896;3.051350;0.277246;-0.187679;3.217437
3.790000;9.943522;7.189423;3.054113;0.275372;-0.187025;3.207799
3.800000;10.015569;7.219978;3.056858;0.273505;-0.186374;3.198190
3.810000;10.087922;7.250560;3.059583;0.271645;-0.185724;3.188610
3.820000;10.160580;7.281170;3.062291;0.269791;-0.185077;3.179059
3.830000;10.233545;7.311806;3.064979;0.267943;-0.184431;3.169536
